Argent Touch ,2011,Gelding,Elnadim (USA),The Manx Touch (IRE),Derek Shaw,45,,,
Argentia ,2005,Filly,Silver Patriarch (IRE),Ludoviciana ,Kim Bailey,,,83,
Argocat (IRE),2008,Gelding,Montjeu (IRE),Spirit of South (AUS),Tom J. Taaffe,75,,,
Argot ,2011,Colt,Three Valleys (USA),Tarot Card ,Anthony Carson,73,,,
Arguidos (IRE),2004,Gelding,Winged Love (IRE),Open Meeting (IRE),Debra Hamer,,,,79
Arisda ,2008,Filly,Exit To Nowhere (USA),Clotted Cream (USA),Johnny Farrelly,,,,94
Aristocracy ,2011,Colt,Royal Applause ,Pure Speculation ,Mick Channon,69,,,
Arizona John (IRE),2005,Gelding,Rahy (USA),Preseli (IRE),John Mackie,82,,,
Arizona River ,2006,Filly,Fair Mix (IRE),Halo Flora ,Jason Ward,,,,95
Arjawan ,2010,Gelding,Byron ,Al Hawa (USA),Clive Brittain,55,,,
Arkaim ,2008,Gelding,Oasis Dream ,Habariya (IRE),Pam Sly,53,60,114,
Arkose (IRE),2004,Gelding,Luso ,Endless Patience (IRE),Oliver Sherwood,,,112,
Arlecchino (IRE),2010,Gelding,Hernando (FR),Trullitti (IRE),Ed McMahon,70,,,
Armada Bay (IRE),2010,Gelding,Tamayuz ,Yara (IRE),Bryan Smart,49,,,
Armedandbeautiful ,2008,Filly,Oscar (IRE),Grey Mistral ,Tom Gretton,,,,100
Armedanddangerous (IRE),2005,Gelding,Kris Kin (USA),Lucky Fountain (IRE),Tom Gretton,,,108,
Armelle (FR),2011,Filly,Milk It Mick ,Park Ave Princess (IRE),Scott Dixon,56,,,
Armenian Boy (FR),2003,Gelding,Simon du Desert (FR),Jade d'Eau (IRE),Jackie du Plessis,,,124,115
Armoury House ,2001,Gelding,Gunner B,Coire Vannich,D. Buckett,,,96,
Arms (IRE),2010,Colt,Excellent Art ,Enchanting Way ,J. W. Hills,73,80,,
Arnold Lane (IRE),2009,Colt,Footstepsinthesand ,Capriole ,Mick Channon,105,,,
Around A Pound (IRE),2005,Gelding,Old Vic,Mary Ellen Best (IRE),Nick Kent,,,,102
Arr Kid (USA),2010,Colt,Medaglia d'Oro (USA),Viaduct (USA),Keith Dalgleish,70,,,
Arranger (IRE),2011,Filly,Bushranger (IRE),El Morocco (USA),Martyn Meade,75,,,
Arrayan ,2005,Gelding,Catcher In The Rye (IRE),Ganga (IRE),Alexandra Dunn,,,,105
Arrow Barrow (IRE),2005,Gelding,Moscow Society (USA),Miss Nee (IRE),John Wade,,,91,
Arrowmint ,2006,Filly,Executive Perk,Araminta ,Nicholas Pomfret,,,,76
Arrowzone ,2011,Gelding,Iffraaj ,Donna Giovanna ,Garry Moss,71,,,
Arsaadi (IRE),2009,Filly,Dubawi (IRE),Arsad (IRE),William Haggas,100,,,
Art Dzeko ,2009,Gelding,Acclamation ,Delitme (IRE),Brian Baugh,62,,,
Art History (IRE),2008,Gelding,Dalakhani (IRE),What A Picture (FR),David O'Meara,77,,,
Art Mistress (IRE),2010,Filly,Excellent Art ,Hammrah ,Tim Easterby,62,,,
Art Obsession (IRE),2011,Gelding,Excellent Art ,Ghana (IRE),David Barron,77,,,
Art Official (IRE),2011,Colt,Excellent Art ,Dama'a (IRE),Richard Hannon,88,,,
Art Professor (IRE),2004,Gelding,In The Wings,Itab (USA),Venetia Williams,,,,130
Art Scholar (IRE),2007,Gelding,Pyrus (USA),Marigold (FR),Michael Appleby,89,,,
Art Thief ,2008,Gelding,Catcher In The Rye (IRE),Eurolink Sundance ,Michael Appleby,45,,,
Art Wave (IRE),2011,Colt,Art Connoisseur (IRE),Musical Review (UAE),Marco Botti,75,,,
Arte Del Calcio ,2009,Gelding,Manduro (GER),Movie Queen ,Tony Carroll,46,,,92
Artemis (IRE),2011,Filly,Marju (IRE),Silver Arrow (USA),Conrad Allen,52,,,
Artful Lady (IRE),2009,Filly,Excellent Art ,Fear And Greed (IRE),George Margarson,62,,,
Artful Prince ,2010,Gelding,Dutch Art ,Royal Nashkova ,James Given,78,,,
Arthurian Legend ,2005,Gelding,Alflora (IRE),Be My Adelina (IRE),Philip Hobbs,,,130,130
Arthurs Melody ,2011,Gelding,Oratorio (IRE),Poilane ,Bill Turner,54,,,
Arthurs Pass ,2004,Gelding,Midnight Legend ,Bella Coola ,Tom George,,,129,
Arthurs Secret ,2010,Gelding,Sakhee's Secret ,Angry Bark (USA),John Quinn,68,,,
Artic Night (FR),2006,Gelding,Take Risks (FR),Just Win (FR),Nigel Twiston-Davies,,,87,87
Artic Pride (IRE),2004,Gelding,Definite Article ,Tricias Pride (IRE),Mrs Emma Clark,,,103,
Artillery Train (IRE),2009,Gelding,Amadeus Wolf ,Another Valentine (FR),Tim Etherington,45,,,
Artistic Acclaim (IRE),2011,Filly,Acclamation ,Ballet Dancer (IRE),John Weymes,41,,,
Artistic Charm ,2011,Filly,Dutch Art ,Greenfly ,David Simcock,85,,,
Artistic Flame ,2011,Gelding,Archipenko (USA),Umlilo ,Amanda Perrett,58,,,
Artistic Jewel (IRE),2009,Filly,Excellent Art ,Danish Gem ,Ed McMahon,107,,,
Artistical (IRE),2010,Colt,Excellent Art ,Royale Figurine (IRE),Lee Carter,72,,,
Arty Campbell (IRE),2010,Gelding,Dylan Thomas (IRE),Kincob (USA),Bernard Llewellyn,70,,,
Arty Farmer ,2004,Gelding,Karinga Bay,One of Those Days ,Ken Wingrove,,,,73
Arumun (IRE),2001,Gelding,Posidonas ,Adwoa (IRE),A. Phillips,,,89,
Aryal ,2010,Gelding,Singspiel (IRE),Majoune (FR),Mark Johnston,81,,,
Aryizad (IRE),2009,Filly,Hurricane Run (IRE),Daziyra (IRE),Alan Swinbank,70,,,
As de Fer (FR),2006,Gelding,Passing Sale (FR),Miss Hollywood (FR),Anthony Honeyball,,,130,
As I Am (IRE),2008,Filly,Old Vic,Faucon ,Don Cantillon,,,,137
Asaid ,2008,Gelding,Singspiel (IRE),Forum Floozie (NZ),John Ferguson,,,134,
Asatir (USA),2009,Gelding,Elusive Quality (USA),Valid Warning (USA),Saeed bin Suroor,95,,,
Asbaab (USA),2010,Gelding,Jazil (USA),Alsaabeqa (USA),Brian Meehan,96,,,
Ascalon ,2004,Colt,Galileo (IRE),Leaping Flame (USA),Pat Eddery,66,,,
Ascendant ,2006,Gelding,Medicean ,Ascendancy ,Andrew Reid,82,,,
Ascription (IRE),2009,Gelding,Dansili ,Lady Elgar (IRE),Hugo Palmer,109,,,
Asgardella (IRE),2010,Filly,Duke of Marmalade (IRE),Peaceful Kingdom (USA),Richard Fahey,82,,,
Ashaadd (IRE),2010,Gelding,Dansili ,Vital Statistics ,Roger Varian,100,,,
Ashamaly ,2010,Colt,Shamardal (USA),Tullynally ,James Tate,83,,,
Ashbrittle ,2007,Gelding,Rainbow Quest (USA),Caesarea (GER),Neil King,80,,,120
Ashclyst (IRE),2002,Gelding,Anshan,Donegal Grey (IRE),L. Jefford,,,98,
Ashcott Boy ,2008,Gelding,Lahib (USA),Last Ambition (IRE),Neil Mulholland,,,,91
Ashdan ,2010,Colt,Dansili ,Bonash ,John Gosden,107,,,
Ashdown Lad ,2009,Gelding,Sir Percy ,Antibes (IRE),Tom Symonds,77,,,117
Ashes House (IRE),2006,Gelding,Dushyantor (USA),Cailinclover (IRE),Rebecca Curtis,,,,125
Ashkalara ,2007,Filly,Footstepsinthesand ,Asheyana (IRE),Stuart Howe,58,,,
Ashkazar (FR),2004,Gelding,Sadler's Wells (USA),Asharna (IRE),David Pipe,,,138,
Ashmolian (IRE),2003,Gelding,Grand Lodge (USA),Animatrice (USA),Zoe Davison,,,,79
Ashpan Sam ,2009,Gelding,Firebreak ,Sweet Patoopie ,John Spearing,97,,,
Asia Minor (IRE),2009,Filly,Pivotal ,Anka Britannia (USA),Dr Jon Scargill,67,,,
Asian Prince (IRE),2009,Gelding,Strategic Prince ,Asian Alliance (IRE),Alastair Lidderdale,,,98,98
Asian Trader ,2009,Gelding,Acclamation ,Tiger Waltz ,William Haggas,84,,,
Ask Dad ,2010,Colt,Intikhab (USA),Don't Tell Mum (IRE),Michael Dods,82,,,
Ask The Boss ,2005,Gelding,Deploy,Fermoy Lady (IRE),Tim Dennis,,,92,89
Ask The Guru ,2010,Colt,Ishiguru (USA),Tharwa (IRE),Michael Attwater,69,,,
Askar Tau (FR),2005,Gelding,Montjeu (IRE),Autriche (IRE),Marcus Tregoning,101,,,
Askaud (IRE),2008,Filly,Iffraaj ,Tarabaya (IRE),Scott Dixon,90,80,,
Asker (IRE),2008,Gelding,High Chaparral (IRE),Pay The Bank,Zoe Davison,72,,,108
Aspenbreeze ,2011,Colt,Champs Elysees ,Llanito ,Alan Bailey,46,,,
Aspirant ,2011,Gelding,Rail Link ,Affluent ,Bill Turner,72,,,
Assembly ,2010,Gelding,Kyllachy ,Constitute (USA),Pat Phelan,67,62,,
Assertive Agent ,2010,Filly,Assertive ,Agent Kensington ,Tony Carroll,57,,,
Assizes ,2009,Gelding,Teofilo (IRE),Requesting ,Ruth Carr,59,,,
Assoluta (IRE),2011,Filly,Danehill Dancer (IRE),A P Easy (USA),Sylvester Kirk,57,,,
Astaire (IRE),2011,Colt,Intense Focus (USA),Runway Dancer ,Kevin Ryan,114,,,
Astonishing (IRE),2010,Filly,Galileo (IRE),Amazing Krisken (USA),Sir Michael Stoute,109,,,
Astorgs Galaxy ,2010,Filly,Galileo (IRE),Astorg (USA),Sir Michael Stoute,70,68,,
Astra Hall ,2009,Filly,Halling (USA),Star Precision ,Ralph Beckett,82,,,
Astracad (FR),2006,Gelding,Cadoudal (FR),Astre Eria (FR),Nigel Twiston-Davies,,,144,
Astral Pursuits ,2011,Filly,Pastoral Pursuits ,Wish You Luck ,Nigel Tinkler,38,,,
Astral Rose ,2011,Filly,Pastoral Pursuits ,Rosapenna (IRE),Jonathan Portman,57,,,
Astrogold ,2009,Filly,Motivator ,Mega (IRE),Mark H. Tompkins,48,,,86
Astromagick ,2008,Filly,Rainbow Quest (USA),Astrocharm (IRE),Mark H. Tompkins,76,,,
Astrosapphire ,2010,Filly,Manduro (GER),Astromancer (USA),Mark H. Tompkins,55,,,
Astroscarlet ,2009,Filly,Carnival Dancer ,Astrolove (IRE),Mark H. Tompkins,47,50,,
Astrowolf ,2011,Gelding,Halling (USA),Optimistic ,Mark H. Tompkins,59,,,
Astrum ,2010,Gelding,Haafhd ,Vax Star ,Neil King,71,,,
At A Clip ,2010,Filly,Green Desert (USA),First Bloom (USA),Ralph Beckett,68,,,
At Fishers Cross (IRE),2007,Gelding,Oscar (IRE),Fermoy Supreme (IRE),Rebecca Curtis,,,,161
Ata Boy (IRE),2006,Gelding,Key of Luck (USA),Atalina (FR),Richard Phillips,,,,83
Atalanta Bay (IRE),2010,Filly,Strategic Prince ,Wood Sprite ,Marcus Tregoning,66,,,
Athaakeel (IRE),2006,Filly,Almutawakel ,Asaafeer (USA),Ronald Harris,54,,,
Atheera (IRE),2011,Filly,Shamardal (USA),Alshamatry (USA),Mark Johnston,63,,,
Athenian (IRE),2009,Filly,Acclamation ,Ziria (IRE),Sir Mark Prescott Bt,92,88,,
Atherstone Hill (IRE),2002,Gelding,Presenting ,Mystic Madam (IRE),Robin Dickin,,,86,
Athletic ,2009,Gelding,Doyen (IRE),Gentle Irony ,Andrew Reid,54,64,,
Athwaab ,2007,Filly,Cadeaux Genereux,Ahdaaf (USA),Simon Hodgson,52,,,
Atilia ,2010,Filly,Notnowcato ,Gib (IRE),Harry Dunlop,41,,,
Atlanta Falcon (IRE),2005,Gelding,Winged Love (IRE),Oneofmegirls (IRE),Donald McCain,,,123,
Atlantic Affair (IRE),2011,Filly,Clodovil (IRE),Adultress (IRE),Mark Johnston,78,,,
Atlantic Isle (GER),2010,Filly,Tamayuz ,All Time Great ,Sir Henry Cecil,59,,,
Atlantic Roller (IRE),2007,Gelding,Old Vic,Tourist Attraction (IRE),Paul Nicholls,,,,129
Atlantis Crossing (IRE),2009,Gelding,Elusive City (USA),Back At de Front (IRE),Jim Boyle,76,89,,
Atmanna ,2009,Filly,Manduro (GER),Samdaniya ,Zoe Davison,44,,,
Atriptomilan (IRE),2008,Gelding,Milan ,Lady of Sonas (IRE),Jonjo O'Neill,,,95,100
Attaglance ,2006,Gelding,Passing Glance ,Our Ethel ,Malcolm Jefferson,,,137,
Attain ,2009,Gelding,Dansili ,Achieve ,Julia Feilden,53,,,
Attansky (IRE),2010,Gelding,Ivan Denisovich (IRE),Attanagh (IRE),Tim Easterby,55,,,
Attention Seaker ,2010,Filly,Bollin Eric ,Pay Attention ,Tim Easterby,72,,,
Attraction Ticket ,2009,Gelding,Selkirk (USA),Trick (IRE),David Simcock,69,,,
Attwaal (IRE),2009,Gelding,Teofilo (IRE),Qasirah (IRE),Neil King,78,,,
Attycran (IRE),2005,Gelding,Snurge,Baltimore Lass (IRE),Maurice Barnes,,,103,
Auberge (IRE),2004,Filly,Blueprint (IRE),Castlegrace (IRE),Evelyn Slack,,,98,98
Aubrietia ,2009,Filly,Dutch Art ,Petong's Pet ,Alan McCabe,78,88,,
Auction (IRE),2010,Filly,Mr Greeley (USA),Exhibit One (USA),Ed Dunlop,99,,,
Audacia (IRE),2010,Filly,Sixties Icon ,Indiannie Moon ,Hugo Palmer,84,,,
Auden (USA),2008,Gelding,Librettist (USA),Moyesii (USA),J. R. Jenkins,60,,,
Aughcarra (IRE),2005,Gelding,High Chaparral (IRE),Pearly Brooks ,Harry Chisman,,,,77
Augusta Ada ,2011,Filly,Byron ,Preference ,Ollie Pears,79,,,
Auld Alliance (IRE),2010,Filly,Montjeu (IRE),Highland Gift (IRE),Sir Michael Stoute,82,,,
Auld Sthock (IRE),2008,Gelding,Definite Article ,Native Archive (IRE),Gary Moore,,,,117
Auntie Mildred (IRE),2010,Filly,Elnadim (USA),Nahrayn (USA),David O'Meara,51,,,
Aura Bora (USA),2008,Gelding,North Light (IRE),A Rose for Chris (USA),Tim Easterby,34,,,
Aureate ,2004,Gelding,Jade Robbery (USA),Anne d'Autriche (IRE),Brian Forsey,45,50,,75
Aurelia Cotta (IRE),2011,Filly,Holy Roman Emperor (IRE),Art Work ,Charles Hills,59,,,
Aurens (IRE),2009,Gelding,One Cool Cat (USA),Al Aqabah (IRE),Michael Attwater,67,,,
Aureolin Gulf ,2009,Gelding,Proclamation (IRE),Vermilion Creek ,Andrew Hollinshead,45,,,
Auroras Encore (IRE),2002,Gelding,Second Empire (IRE),Sama Veda (IRE),Sue Smith,,,148,135
Aussie Blue (IRE),2004,Gelding,Bahamian Bounty ,Luanshya ,Charles Pogson,55,57,,
Aussie Reigns (IRE),2010,Gelding,Aussie Rules (USA),Rohain (IRE),William Knight,101,,,
Aussie Sky (IRE),2011,Filly,Aussie Rules (USA),Skyscape ,Daniel Loughnane,40,,,
Australia Day (IRE),2003,Gelding,Key of Luck (USA),Atalina (FR),Paul Webber,84,,,136
Authentic Act (IRE),2004,Gelding,Pivotal ,All In All ,Martin Todhunter,,,67,67
Authentication ,2009,Gelding,Authorized (IRE),Valley of Gold (FR),Mel Brittain,53,,,
Authoritarian ,2009,Filly,Authorized (IRE),Favourita ,Richard Hannon,62,,,
Authorship (IRE),2010,Gelding,Authorized (IRE),Desert Frolic (IRE),Charlie Appleby,80,,,
Auto Mac ,2008,Gelding,Auction House (USA),Charlottevalentina (IRE),Mike Sowersby,62,,,
Automotive ,2008,Gelding,Beat Hollow ,Bina Ridge ,Julia Feilden,62,,,
Autopilot ,2011,Colt,Kyllachy ,Khyber Knight (IRE),Anabel K. Murphy,72,,,
Autrisk (IRE),2010,Colt,Authorized (IRE),Maid To Order (IRE),Marco Botti,59,61,,
Autspread ,2010,Colt,Authorized (IRE),Ridotto ,Marco Botti,83,,,
Autumm Spirit ,2004,Filly,Kadastrof (FR),Dickies Girl ,Robin Dickin,,,85,
Autumn Day (IRE),2005,Gelding,Milan ,Alice Freyne (IRE),Alison Batchelor,,,83,
Autumn Haze ,2005,Gelding,Chaddleworth (IRE),Kristal Haze ,Phillip Dando,,,65,
Autumn Lily (USA),2011,Filly,Street Cry (IRE),Arlette (IRE),Charlie Appleby,99,,,
Autumn Sunrise (IRE),2011,Filly,Camacho ,Convenience (IRE),Richard Hannon,80,,,
Autumn Tide (IRE),2011,Filly,Jeremy (USA),September Tide (IRE),John Quinn,50,,,
Autumns Blush (IRE),2011,Filly,Kheleyf (USA),Park Romance (IRE),Jeremy Noseda,82,,,
Autumnus (IRE),2009,Gelding,Manduro (GER),Turning Light (GER),Lawrence Mullaney,46,,,
Autun (USA),2010,Colt,Empire Maker (USA),Sense of Joy ,Brian Ellison,87,90,,
Ava Schmetterling ,2010,Filly,Avonbridge ,Manila Selection (USA),Garry Moss,38,,,
Available (IRE),2009,Filly,Moss Vale (IRE),Divert (IRE),John Mackie,76,62,,
Avanos (FR),2005,Gelding,Kaldounevees (FR),Annee de La Femme (IRE),Philip Kirby,,,80,93
Avatar Star (IRE),2010,Gelding,Peintre Celebre (USA),Homegrown (IRE),Marco Botti,74,,,
Avec Moi Ce Soir (IRE),2003,Gelding,Marignan (USA),Claregary (IRE),Colin Tizzard,,,87,
Avec Rose ,2010,Filly,Tagula (IRE),Rose Siog ,Richard Fahey,67,,,
Avenging Ace (IRE),2006,Gelding,Heron Island (IRE),How Provincial (IRE),Donald McCain,,,89,
Avertis ,2005,Gelding,Averti (IRE),Double Stake (USA),Alastair Lidderdale,72,,,
Aviso (GER),2004,Gelding,Tertullian (USA),Akasma (GER),David Evans,52,,120,102
Avoca Promise (IRE),2005,Gelding,Oscar (IRE),High Ace (IRE),Tom Symonds,,,127,
Avocadeau (IRE),2011,Colt,Lawman (FR),Christmas Cracker (FR),William Muir,68,,,
Avon Breeze ,2009,Filly,Avonbridge ,African Breeze ,Richard Whitaker,80,,,
Avon River ,2007,Gelding,Avonbridge ,Night Kiss (FR),Dean Ivory,64,,,
Avonlini ,2006,Filly,Bertolini (USA),Avondale Girl (IRE),Richard Ford,46,,,
Avonmore Star ,2008,Gelding,Avonbridge ,Pooka's Daughter (IRE),Mike Murphy,62,,,
Avonrose ,2007,Filly,Avonbridge ,Loveleaves ,Derek Shaw,69,,,
Avonvalley ,2007,Filly,Avonbridge ,Piper's Ash (USA),Peter Grayson,63,,,
Awake My Soul (IRE),2009,Gelding,Teofilo (IRE),Field of Hope (IRE),David O'Meara,93,,,
Award Winner ,2003,Gelding,Alflora (IRE),Blackwater Bay (IRE),Brendan Powell,,,,95
Awattan ,2010,Filly,Singspiel (IRE),Mureefa (USA),Ed Vaughan,66,,,
Awaywiththegreys (IRE),2007,Gelding,Whipper (USA),Silver Sash (GER),Peter Bowen,,,,132
Awbeg Massini (IRE),2006,Gelding,Dr Massini (IRE),Awbeg Flower (IRE),Tim Vaughan,,,,116
Aweebitowinker ,2011,Gelding,Winker Watson ,French Connexion (IRE),J. S. Moore,48,,,
Awesome Bella ,2007,Filly,Karinga Bay,Awesome Aunt (IRE),David Rees,,,,95
Awesome Freddie ,2005,Gelding,Karinga Bay,Awesome Aunt (IRE),Dan Skelton,,,,117
Awesome Rock (IRE),2009,Gelding,Rock of Gibraltar (IRE),Dangerous Diva (IRE),Roger Ingram,44,,,
Axiom ,2004,Gelding,Pivotal ,Exhibitor (USA),Ed Walker,83,,,
Ay Tay Tate (IRE),2006,Gelding,Catcher In The Rye (IRE),Vintage Belle (IRE),Noel Wilson,52,,,
Ayaar (IRE),2010,Colt,Rock of Gibraltar (IRE),Teide Lady ,Luca Cumani,97,,,
Ayas Gift ,2011,Colt,Compton Place ,Ringarooma ,Ed Walker,63,,,
Ayasha ,2010,Filly,Indesatchel (IRE),Nizhoni (USA),Bryan Smart,69,65,,
Aye Aye Digby (IRE),2005,Gelding,Captain Rio ,Jane Digby (IRE),Patrick Chamings,77,80,,
Aye Aye Skipper (IRE),2010,Gelding,Captain Marvelous (IRE),Queenfisher ,Dean Ivory,75,,,
Ayr Missile ,2010,Filly,Cadeaux Genereux,Venoge (IRE),Kevin Ryan,57,,,
Azabitmour (FR),2010,Gelding,Azamour (IRE),Brixa (FR),John Best,51,,,
Azagal (IRE),2011,Filly,Azamour (IRE),Brave Madam (IRE),Tim Easterby,89,,,
Azelle ,2010,Filly,Starcraft (NZ),Zola (NZ),Brendan Powell,60,,,
Azenzar ,2010,Filly,Danehill Dancer (IRE),Dashing (IRE),Roger Varian,72,,,
Azerodegree (IRE),2009,Gelding,Azamour (IRE),Fairy (USA),Harriet Graham,54,,,104
Azma (USA),2010,Filly,Bernardini (USA),Dyna's Destiny (USA),Conrad Allen,78,,,
Azrael ,2008,Gelding,Makbul,Fontaine Lady,Alan McCabe,78,,,
Azrag (USA),2008,Gelding,Mizzen Mast (USA),Call Account (USA),Gerard Butler,86,,,
Azrur (IRE),2010,Gelding,Sir Percy ,Tiger Spice ,David Brown,87,,,
Azure Aware (IRE),2007,Gelding,Milan ,Luck Penni (IRE),Kim Bailey,,,120,120
Azure Fly (IRE),2008,Gelding,Blueprint (IRE),Lady Delight (IRE),Charlie Longsdon,,,,128
Azza (FR),2010,Filly,Great Pretender (IRE),Indecise (FR),David Pipe,,,,129
Azzurra du Caprio (IRE),2008,Filly,Captain Rio ,Dunbrody (FR),Ben Haslam,77,,,
B Fifty Two (IRE),2009,Gelding,Dark Angel (IRE),Petite Maxine ,J. W. Hills,88,,,
Baan (USA),2003,Gelding,Diesis,Madaen (USA),James Eustace,57,,,
Baars Causeway (IRE),2011,Filly,Intense Focus (USA),Barbera (GER),Alan Jarvis,72,,,
Bab Al Salam (USA),2006,Gelding,Seeking The Gold (USA),Encandiladora (ARG),John Ferguson,,,,113
Babushkas Girl ,2009,Filly,Central Park (IRE),Shaymee's Girl ,Lisa Williamson,9,,,
Baby Bush (IRE),2011,Filly,Holy Roman Emperor (IRE),Mainstream Opinion (IRE),Richard Hannon,80,,,
Baby Dottie ,2007,Filly,Dr Fong (USA),Auntie Dot Com ,Pat Phelan,52,55,,
Baby Judge (IRE),2007,Gelding,Captain Rio ,Darling Clementine ,Michael Chapman,42,,,
Baby Mac ,2008,Gelding,Presidium,Nishara ,Neville Bycroft,17,,,
Baby Mix (FR),2008,Gelding,Al Namix (FR),Douchka (FR),Warren Greatrex,,,142,
Baby Queen (IRE),2006,Filly,Royal Applause ,Kissing Time ,Brian Baugh,67,64,,
Baby Run (FR),2000,Gelding,Baby Turk,Run For Laborie (FR),Nigel Twiston-Davies,,,141,
Baby Shine (IRE),2006,Filly,King's Theatre (IRE),Brambleshine (IRE),Lucy Wadham,,,132,132
Baby Strange ,2004,Gelding,Superior Premium ,The Manx Touch (IRE),Derek Shaw,86,78,,
Baccalaureate (FR),2006,Gelding,High Chaparral (IRE),Rose d'Or (IRE),Sue Smith,,,,128
Baccarat (IRE),2009,Gelding,Dutch Art ,Zut Alors (IRE),Richard Fahey,101,,,
Bach On Tow (IRE),2007,Gelding,Bach (IRE),Handmade (IRE),Susan Gardner,,,,87
Bachelor Knight (IRE),2008,Gelding,Bachelor Duke (USA),Labetera ,Suzzanne France,43,40,,
Bachotheque (IRE),2010,Gelding,Chineur (FR),Bacchanalia (IRE),Tim Easterby,75,,,
Back Bob Back (IRE),2005,Gelding,Bob Back (USA),Joyney,Tom George,,,117,
Back Burner (IRE),2008,Gelding,Big Bad Bob (IRE),Marl ,David O'Meara,83,,,
Back For Tea (IRE),2008,Gelding,Redback ,Jasmine Pearl (IRE),Phil McEntee,40,,,
Back In The Frame ,2010,Filly,Dutch Art ,Ile Deserte ,David O'Meara,62,,,
Back Lane ,2011,Colt,Invincible Spirit (IRE),Rivalry ,Richard Fahey,83,,,
Back On Baileys ,2011,Filly,Kyllachy ,Baileys Gleam ,Chris Dwyer,57,,,
Back On The Road (IRE),2002,Gelding,Broken Hearted,Special Trix (IRE),N. W. Alexander,,,109,
Back On The Trail ,2010,Gelding,Singspiel (IRE),Boleyna (USA),Michael Blake,65,,,
Backhomeinderry (IRE),2005,Gelding,Oscar (IRE),Foyle Wanderer (IRE),Kate Buckett,,,,100
Backstreet Billy (IRE),2004,Gelding,Presenting ,Basically (IRE),Richard Lee,,,86,86
Badb Catha (IRE),2006,Filly,Flemensfirth (USA),Beann Ard (IRE),Roger Curtis,,,62,
Baddam ,2002,Gelding,Mujahid (USA),Aude La Belle (FR),Martin Jones,,,98,
Baddilini ,2010,Gelding,Bertolini (USA),Baddi Heights (FR),Alan Bailey,85,,,
Badea ,2009,Gelding,Cockney Rebel (IRE),Gibraltar Bay (IRE),Martin Todhunter,62,,,
Badged ,2009,Gelding,High Chaparral (IRE),Meshhed (USA),Lucy Normile,60,,,
Badger ,2000,Gelding,Classic Cliche (IRE),Tyrilda (FR),Mrs C. Dennis,,,76,
Badger Foot (IRE),2005,Gelding,Beneficial ,Droim Alton Gale (IRE),Lucinda Russell,,,105,
Badgers Cove (IRE),2004,Gelding,Witness Box (USA),Celestial Rose (IRE),Robin Dickin,,,106,
Badgers Retreat ,2006,Gelding,Elusive City (USA),Heuston Station (IRE),Ferdy Murphy,,,105,
Badr Al Badoor (IRE),2010,Filly,Acclamation ,Dani Ridge (IRE),James Fanshawe,90,,,
Bafana Choice ,2006,Gelding,Bollin Eric ,Lorna's Choice,Mrs S. E. Grant,,,95,
Bahama Bay ,2010,Filly,Bahamian Bounty ,Green Bonnet (IRE),Stuart Williams,45,,,
Bahamamay ,2010,Gelding,Bahamian Bounty ,May West ,Richard Fahey,59,,,
Bahamian C ,2011,Gelding,Bahamian Bounty ,Amandian (IRE),Richard Fahey,68,,,
Bahamian Heights ,2011,Colt,Bahamian Bounty ,Tahirah ,Clive Brittain,96,,,
Bahira (IRE),2007,Filly,Kalanisi (IRE),Biagiotti (GER),Donald McCain,,,,79
Bahrain Storm (IRE),2003,Gelding,Bahhare (USA),Dance Up A Storm (USA),Noel Quinlan,,,118,
Bai Zhu (IRE),2004,Gelding,Anshan,Cool Thistle (IRE),John Ferguson,,,107,
Baihas ,2010,Gelding,Nayef (USA),Allegretto (IRE),Sir Michael Stoute,92,,,
Bailadeira ,2008,Filly,Intikhab (USA),Sainte Gig (FR),Tim Etherington,51,54,,
Baile Anrai (IRE),2004,Gelding,Norwich,Rose Ana (IRE),Dan Skelton,,,122,122
Baile Atha Cliath (IRE),2009,Gelding,Barathea (IRE),Danielli (IRE),Declan Carroll,50,,,
Baileys Celebrate ,2011,Filly,Royal Applause ,Southern Psychic (USA),Mark Johnston,43,,,
Baileys Concerto (IRE),2006,Gelding,Bach (IRE),None The Wiser (IRE),Dianne Sayer,,,110,
Baileys Forever ,2011,Filly,Mount Nelson ,Forever Fine (USA),James Given,68,,,
Baileys Jubilee ,2010,Filly,Bahamian Bounty ,Missisipi Star (IRE),Mark Johnston,85,,,
Baily Storm (IRE),2002,Gelding,Anshan,Euroblend (IRE),Lawney Hill,,,107,
Bains Pass (IRE),2010,Gelding,Johannesburg (USA),Rose Bourbon (USA),Kevin Ryan,63,,,
Bajan Bear ,2008,Gelding,Compton Place ,Bajan Rose ,Michael Blanshard,69,,,
Bajan Beauty (IRE),2011,Filly,Footstepsinthesand ,Blue Crystal (IRE),Charles Hills,70,,,
Bajan Rebel ,2011,Filly,Bahamian Bounty ,Silca Key ,Michael Easterby,55,,,
Bajan Story ,2009,Gelding,Lucky Story (USA),Bajan Rose ,Michael Blanshard,44,50,,
Bajan Sunshine (IRE),2001,Gelding,Presenting ,Tina's Charm (IRE),Chris Dwyer,,,,69
Bajan Tryst (USA),2006,Gelding,Speightstown (USA),Garden Secrets (USA),Kevin Ryan,88,,,
Baker Man (IRE),2011,Gelding,Dandy Man (IRE),Anne Bonney ,Sylvester Kirk,63,,,
Bakers Pursuit ,2010,Filly,Pastoral Pursuits ,Little Caroline (IRE),Jim Goldie,48,,,
